OBJECTID_1,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Num_Counties,County_NUM_1,County_NUM_2,Month
19635,20254,2017,CA,CCO,ORC, ,17116171,10/23/2017 0:00,10/23/2017 0:00,14,,,0.086867,1,1,,1,30,30,10
19490,20109,2017,CA,CCO,VNC,PALMA,89782,10/21/2017 0:00,10/21/2017 0:00,14,gps track,,1.1872907,1,1,,1,56,56,10
19748,20367,2017,CA,CCO,LAC,MEDLEY,314882,10/21/2017 0:00,10/21/2017 0:00,14,,,0.0277538,1,1,,1,19,19,10
19956,20575,2017,CA,USF,CNF,CAPTAIN,3748,10/21/2017 0:00,10/22/2017 0:00,2,"Job Code = P5LF5M, must check with ASC for accura*",41,41.0463371,1,1,,1,37,37,10
19545,20164,2017,CA,CDF,SLU,SODA,11961,10/20/2017 0:00,7/20/2017 0:00,14,,21,30.6509991,1,1,,1,40,40,10
19546,20165,2017,CA,CDF,SLU,LYNCH,11676,10/19/2017 0:00,10/19/2017 0:00,10,,,71.18116,1,1,,1,40,40,10
19514,20133,2017,CA,CDF,TCU,MILTON,12544,10/18/2017 0:00,10/18/2017 0:00,2,,,17.9616661,1,1,,1,5,5,10
19634,20253,2017,CA,CCO,ORC,LAMBERT ,17113979,10/18/2017 0:00,10/18/2017 0:00,14,,,28.2417908,1,1,,2,19,30,10
19973,20592,2017,CA,USF,ANF,WILSON,4552,10/17/2017 0:00,10/31/2017 0:00,9,,50,45.1162033,1,1,,1,19,19,10
19636,20255,2017,CA,CCO,ORC, ,17113317,10/16/2017 0:00,10/16/2017 0:00,14,,,0.0713074,1,1,,1,30,30,10
20018,20637,2017,CA,CDF,CZU,BEAR,7822,10/16/2017 0:00,10/25/2017 0:00,7, ,391,317.2009888,7,1,,1,44,44,10
19668,20287,2017,CA,CDF,MVU,WILSON,21916,10/15/2017 0:00,10/16/2017 0:00,9,SHOOTING,28,27.3917255,1,1,,1,37,37,10
19657,20276,2017,CA,CDF,NEU,VISTA,26830,10/14/2017 0:00,10/15/2017 0:00,2,,7.36,7.3451605,1,1,,1,31,31,10
19886,20505,2017,CA,USF,SRF,RIVERS,1289,10/14/2017 0:00,10/14/2017 0:00,5,,148,147.5612488,8,1,,1,53,53,10
19849,20468,2017,CA,CDF,FKU,SILVER,15022,10/11/2017 0:00,10/13/2017 0:00,14,,,57.0546227,1,1,,1,10,10,10
19663,20282,2017,CA,CDF,NEU,GARDEN,26444,10/10/2017 0:00,10/10/2017 0:00,10,,,19.1375942,1,1,,1,29,29,10
19945,20564,2017,CA,USF,ENF,ICE,30114,10/10/2017 0:00,10/15/2017 0:00,2,"P5LE89, IC.NOGGLES, FINV D.CRUZ 3E5. CAUSE; EQUIP*",29,29.3700027,1,1,,1,9,9,10
19999,20618,2017,CA,USF,MDF,DAVIS,1556,10/10/2017 0:00,10/13/2017 0:00,9,,51.1,51.1422272,1,1,,1,25,25,10
19523,20142,2017,CA,CDF,TCU,POINT,12170,10/9/2017 0:00,10/9/2017 0:00,11,October 2017 Siege,130,130.235733,1,1,,1,5,5,10
19633,20252,2017,CA,CCO,ORC,CANYON II,17110494,10/9/2017 0:00,10/17/2017 0:00,5,,9217,9198.0283203,7,1,,1,30,30,10
19637,20256,2017,CA,CCO,ORC, ,17110695,10/9/2017 0:00,10/9/2017 0:00,14,,,0.258453,1,1,,1,30,30,10
19719,20338,2017,CA,CDF,LNU,SULPHER,10055,10/9/2017 0:00,10/25/2017 0:00,14,Mendocino Lake Complex,2206,2206.2302246,3,1,,1,17,17,10
19830,20449,2017,CA,BLM,NOD,COWHEAD,6142,10/9/2017 0:00,10/12/2017 0:00,4,,0,31.6667805,1,1,,1,25,25,10
19929,20548,2017,CA,USF,LPF,POZO ,3060,10/9/2017 0:00,10/9/2017 0:00,2,,61.44,64.3655701,1,1,,1,40,40,10
20010,20629,2017,CA,CDF,BTU,HONEY,15990,10/9/2017 0:00,10/30/2017 0:00,11, ,150,153.5117188,1,1,,1,4,4,10
20045,20664,2017,CA,NPS,YNP,POHONO,150,10/9/2017 0:00,10/9/2017 0:00,4,,0,0.0794642,7,1,150,1,22,22,10
19656,20275,2017,CA,CDF,NEU,SMARTSVILLE,26274,10/8/2017 0:00,10/9/2017 0:00,14,,,11.5590506,1,1,,1,58,58,10
19662,20281,2017,CA,CDF,NEU,MCCOURTNEY,26279,10/8/2017 0:00,10/11/2017 0:00,14,Part of  the NEU Wind Complex,76,75.5383606,7,1,,1,29,29,10
19664,20283,2017,CA,CDF,NEU,LOBO,26275,10/8/2017 0:00,10/26/2017 0:00,14,Part of  the NEU Wind Complex,821,820.644104,7,1,,1,29,29,10
19712,20331,2017,CA,CDF,LNU,NUNS,10049,10/8/2017 0:00,10/31/2017 0:00,14,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",55797,55798.1914063,3,1,,2,28,49,10
19713,20332,2017,CA,CDF,LNU,PRESSLEY,10049,10/8/2017 0:00,10/31/2017 0:00,14,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",791.88,791.8881226,7,1,,1,49,49,10
19714,20333,2017,CA,CDF,LNU,37,10393,10/8/2017 0:00,10/17/2017 0:00,14,Marin Co. Fire Assist,1657,1657.3693848,1,1,,1,49,49,10
19715,20334,2017,CA,CDF,LNU,YOUNG,10104,10/8/2017 0:00,10/25/2017 0:00,14,,,106.0054092,3,1,,1,49,49,10
19716,20335,2017,CA,CDF,LNU,TUBBS,10104,10/8/2017 0:00,11/1/2017 0:00,14,Central Complex,36701,36701.984375,3,1,,2,28,49,10
19717,20336,2017,CA,CDF,LNU,POCKET,10104,10/8/2017 0:00,11/1/2017 0:00,14,Central Complex,17359,17359.328125,3,1,,1,49,49,10
19718,20337,2017,CA,CDF,LNU,ATLAS,10105,10/8/2017 0:00,11/1/2017 0:00,14,Southern Complex,51624,51624.65625,3,1,,2,28,48,10
20006,20625,2017,CA,CDF,BTU,CHEROKEE,15933,10/8/2017 0:00,11/5/2017 0:00,11,,8417,8415.8027344,1,1,,1,4,4,10
20044,20663,2017,CA,CDF,NEU,CASCADE,26269,10/8/2017 0:00,10/26/2017 0:00,14,"NEU Wind Complex, merged w/ LaPorte",9989,16140.7988281,7,1,,2,4,58,10
20088,20707,2017,CA,CDF,LNU,REDWOOD VALLEY,12172,10/8/2017 0:00,10/25/2017 0:00,14,Mendocino Lake Complex,,36522.9453125,8,1,,1,23,23,10
19706,20325,2017,CA,CDF,LNU,FORT,9994,10/7/2017 0:00,10/8/2017 0:00,14,,18,18.2806492,1,1,,1,49,49,10
19710,20329,2017,CA,CDF,LNU,RIDGE,9953,10/6/2017 0:00,10/8/2017 0:00,14,,90,54.9565926,2,1,,1,17,17,10
19579,20198,2017,CA,CDF,SKU,SHELL,7371,10/5/2017 0:00,10/5/2017 0:00,5,,4.6,4.6438727,1,1,,1,47,47,10
19746,20365,2017,CA,CCO,LAC,MARTINEZ,298577,10/5/2017 0:00,10/6/2017 0:00,7,,,0.0524768,1,1,,1,19,19,10
19702,20321,2017,CA,CDF,LNU,TIMM,9783,10/2/2017 0:00,10/3/2017 0:00,14,,40,125.7918091,2,1,,1,48,48,10
19578,20197,2017,CA,CDF,SKU,MILL,7217,10/1/2017 0:00,10/1/2017 0:00,14,,0.39,0.3852446,1,1,,1,47,47,10
19596,20215,2017,CA,CCO,SBC,RUCKER,12621,9/29/2017 0:00,10/4/2017 0:00,10,,444,429.7041626,1,1,,1,42,42,9
19769,20388,2017,CA,CCO,KRN,LAKEWOOD,1738977,9/29/2017 0:00,9/29/2017 0:00,14, ,,39.7583656,1,1,,1,15,15,9
19749,20368,2017,CA,CCO,LAC,TETON,290730,9/28/2017 0:00,9/28/2017 0:00,14,,,0.3011239,7,1,,1,19,19,9
20009,20628,2017,CA,CDF,BTU,SODA,15314,9/28/2017 0:00,10/30/2017 0:00,1,,148,147.0236816,1,1,,1,52,52,9
19785,20404,2017,CA,CCO,KRN,DERBY,1738291,9/27/2017 0:00,9/27/2017 0:00,14, ,,2.3740511,1,1,,1,15,15,9
19918,20537,2017,CA,USF,PNF,SQUIRREL,1273,9/27/2017 0:00,8/29/2017 0:00,7,,350,113.0544281,6,1,,1,32,32,9
19543,20162,2017,CA,CDF,SLU,POLY,11022,9/26/2017 0:00,9/29/2017 0:00,2,,,105.6660919,1,1,,1,40,40,9
19544,20163,2017,CA,CDF,SLU,LINNE,22025,9/26/2017 0:00,9/26/2017 0:00,14,Roadside,74.95,74.8046722,6,1,,1,40,40,9
19644,20263,2017,CA,CDF,NEU,JASPER,25249,9/26/2017 0:00,9/26/2017 0:00,14,,26,27.6426067,1,1,,1,58,58,9
20046,20665,2017,CA,NPS,YNP,RIBBON,147,9/26/2017 0:00,11/27/2017 0:00,1,,0,1.3856058,7,1,147,1,22,22,9
20049,20668,2017,CA,NPS,RNP,SHORELINE,1718,9/26/2017 0:00,9/26/2017 0:00,9,,0,1.4253378,1,1,1718,1,21,21,9
19591,20210,2017,CA,CCO,SBC,AIR,124234,9/25/2017 0:00,9/25/2017 0:00,2,,149,147.8375244,1,1,,1,42,42,9
19632,20251,2017,CA,CCO,ORC,CANYON I,17105068,9/25/2017 0:00,10/1/2017 0:00,9,,,2661.4152832,7,1,,2,30,33,9
19895,20514,2017,CA,USF,SQF,LION,2753,9/25/2017 0:00,11/2/2017 0:00,1,,19215,18913.5761719,6,1,,1,54,54,9
20011,20630,2017,CA,CDF,BTU,THIRTY TWO,15145,9/25/2017 0:00,9/25/2017 0:00,14,,28,28.1956158,1,1,,1,4,4,9
19510,20129,2017,CA,CDF,TCU,HARNEY,11513,9/24/2017 0:00,9/24/2017 0:00,11,,,37.4214287,1,1,,1,39,39,9
19542,20161,2017,CA,CDF,SLU,COVE,10920,9/23/2017 0:00,9/23/2017 0:00,14,,,24.7704659,6,1,,1,40,40,9
19577,20196,2017,CA,CDF,SKU,RAILROAD,7043,9/23/2017 0:00,9/23/2017 0:00,14,,2.2,2.2164426,1,1,,1,47,47,9
19705,20324,2017,CA,CDF,LNU,ESTATE,9420,9/23/2017 0:00,9/23/2017 0:00,2,6 houses burned,55,42.8033409,1,1,,1,48,48,9
19720,20339,2017,CA,CDF,LNU,CLOVER,9421,9/23/2017 0:00,9/24/2017 0:00,14,,14,13.8988647,1,1,,1,28,28,9
20057,20676,2017,CA,NPS,RNP,DRAKE 2,1716,9/21/2017 0:00,9/21/2017 0:00,9,"maybe vehicle start, CalFire #172777",0,8.2662945,1,1,1716,1,21,21,9
19541,20160,2017,CA,CDF,SLU,HUASNA,10788,9/20/2017 0:00,9/20/2017 0:00,2,,50,244.7889709,6,1,,1,40,40,9
19707,20326,2017,CA,CDF,LNU,REDWOOD,9324,9/20/2017 0:00,9/21/2017 0:00,14,,15,14.0268621,2,1,,1,28,28,9
20084,20703,2017,CA,NPS,YNP,CRANE,142,9/20/2017 0:00,9/20/2017 0:00,9,,0,0.0794118,7,1,142,1,22,22,9
19519,20138,2017,CA,CDF,TCU,TABLE,11308,9/19/2017 0:00,9/19/2017 0:00,11,,,38.8026314,1,1,,1,55,55,9
19587,20206,2017,CA,CDF,SCU,CORAL,6975,9/19/2017 0:00,9/22/2017 0:00,14,,35,157.2407837,2,1,,1,39,39,9
19847,20466,2017,CA,CDF,FKU,MURPHY,13900,9/19/2017 0:00,9/20/2017 0:00,2,,,236.9533691,1,1,,1,10,10,9
19669,20288,2017,CA,CDF,MVU,SUNSHINE COMPLEX,20524,9/18/2017 0:00,9/18/2017 0:00,10,,13,15.960207,1,1,,1,37,37,9
19841,20460,2017,CA,CDF,MMU,EASTMAM,19222,9/18/2017 0:00,9/18/2017 0:00,11,,483,482.3408203,1,1,,1,20,20,9
19879,20498,2017,CA,USF,STF,TWIN ,2803,9/18/2017 0:00,11/21/2017 0:00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,15,14.9645557,6,1,,1,55,55,9
20039,20658,2017,CA,CDF,AEU,FRENCH,27595,9/17/2017 0:00,9/18/2017 0:00,14,,136,130.7718506,1,1,,1,9,9,9
19655,20274,2017,CA,CDF,NEU,BROPHY,24423,9/16/2017 0:00,9/17/2017 0:00,14,,10,13.6882906,1,1,,1,58,58,9
19630,20249,2017,CA,CCO,ORC,CROSS CREEK,17101390,9/15/2017 0:00,9/15/2017 0:00,14,,,0.0201469,4,1,,1,30,30,9
20080,20699,2017,CA,NPS,YNP,INDIAN ROCK,140,9/15/2017 0:00,9/24/2017 0:00,1,,0,0.0793662,7,1,140,1,22,22,9
19631,20250,2017,CA,CCO,ORC, ,17100662,9/13/2017 0:00,9/13/2017 0:00,14,,,0.0149981,1,1,,1,30,30,9
19836,20455,2017,CA,BLM,NOD,DRY VALLEY,5616,9/13/2017 0:00,9/14/2017 0:00,1,,0,51.2380295,1,1,,1,18,18,9
19586,20205,2017,CA,CDF,SHU,BERRY,9460,9/12/2017 0:00,10/4/2017 0:00,1,,995,994.0727539,1,1,,1,45,45,9
19726,20345,2017,CA,CDF,LMU,20-Mar,5560,9/12/2017 0:00,9/23/2017 0:00,1,,20,10.8309078,1,1,,1,47,47,9
19900,20519,2017,CA,USF,SQF,DAVIS,2635,9/12/2017 0:00,9/13/2017 0:00,1,,30,30.5981159,6,1,,1,10,10,9
19910,20529,2017,CA,USF,SHF,BUCK,1850,9/12/2017 0:00,10/30/2017 0:00,1,Initial Attack I.C. was Adam Zaharris. Two small *,13343,13357.2822266,8,1,,2,52,53,9
